Scenario - subjective stimulus intensity
Logfile written - 10/10/2017 23:31:12

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
vp13	127	Picture	VAS	181824	0	1	1167	1	0	next	other	0
vp13	128	Picture	VAS	182991	0	1	1167	1	0	next	other	0
vp13	129	Picture	VAS	184158	0	1	1167	1	0	next	other	0
vp13	130	Picture	VAS	185324	0	1	1167	1	0	next	other	0
vp13	131	Picture	VAS	186491	0	1	1167	1	0	next	other	0
vp13	132	Picture	VAS	187657	0	1	1167	1	0	next	other	0
vp13	133	Picture	VAS	188824	0	1	1167	1	0	next	other	0
vp13	134	Picture	VAS	189990	0	1	1167	1	0	next	other	0
vp13	135	Picture	VAS	191157	0	1	1167	1	0	next	other	0
vp13	136	Picture	VAS	192324	0	1	1167	1	0	next	other	0
vp13	137	Picture	VAS	193490	0	1	1167	1	0	next	other	0
vp13	138	Picture	VAS	194657	0	1	1167	1	0	next	other	0
vp13	139	Picture	VAS	195824	0	1	1167	1	0	next	other	0
vp13	140	Picture	VAS	196990	0	1	1167	1	0	next	other	0
vp13	141	Picture	VAS	198157	0	1	1167	1	0	next	other	0
vp13	142	Picture	VAS	199323	0	1	1167	1	0	next	other	0
vp13	143	Picture	VAS	200490	0	1	1167	1	0	next	other	0
vp13	144	Picture	VAS	201657	0	1	1167	1	0	next	other	0
vp13	145	Picture	VAS	202823	0	1	1167	1	0	next	other	0
vp13	146	Picture	VAS	203990	0	1	1165	2	0	next	other	0
vp13	147	Picture	VAS	205155	0	2	1168	2	0	next	other	0
vp13	148	Picture	VAS	206323	0	1	1167	1	0	next	other	0
vp13	149	Picture	VAS	207490	0	1	1167	1	0	next	other	0
vp13	150	Picture	VAS	208656	0	1	1167	1	0	next	other	0
vp13	151	Picture	VAS	209823	0	1	1167	1	0	next	other	0
vp13	152	Picture	VAS	210989	0	1	1167	1	0	next	other	0
vp13	153	Picture	VAS	212156	0	1	1167	1	0	next	other	0
vp13	154	Picture	VAS	213323	0	1	1167	1	0	next	other	0
vp13	155	Picture	VAS	214489	0	1	1167	1	0	next	other	0
vp13	156	Picture	VAS	215656	0	1	1167	1	0	next	other	0
vp13	157	Picture	VAS	216823	0	1	1167	1	0	next	other	0
vp13	158	Picture	VAS	217989	0	1	1167	1	0	next	other	0
vp13	159	Picture	VAS	219156	0	1	1167	1	0	next	other	0
vp13	160	Picture	VAS	220322	0	1	1167	1	0	next	other	0
vp13	161	Picture	VAS	221489	0	1	1167	1	0	next	other	0
vp13	162	Picture	VAS	222656	0	1	1167	1	0	next	other	0
vp13	163	Picture	VAS	223822	0	1	1167	1	0	next	other	0
vp13	164	Picture	VAS	224989	0	1	1167	1	0	next	other	0
vp13	165	Picture	VAS	226155	0	1	1167	1	0	next	other	0
vp13	166	Picture	VAS	227322	0	1	1167	1	0	next	other	0
vp13	167	Picture	VAS	228489	0	1	1167	1	0	next	other	0
vp13	168	Picture	VAS	229655	0	1	1167	1	0	next	other	0
vp13	169	Picture	VAS	230822	0	1	1165	2	0	next	other	0
vp13	170	Picture	VAS	231987	0	2	1168	2	0	next	other	0
vp13	171	Picture	VAS	233155	0	1	1167	1	0	next	other	0
vp13	172	Picture	VAS	234322	0	1	1167	1	0	next	other	0
vp13	173	Picture	VAS	235488	0	1	1167	1	0	next	other	0
vp13	174	Picture	VAS	236655	0	1	1167	1	0	next	other	0
vp13	175	Picture	VAS	237821	0	1	1167	1	0	next	other	0
vp13	176	Picture	VAS	238988	0	1	1167	1	0	next	other	0
vp13	177	Picture	VAS	240155	0	1	1167	1	0	next	other	0
vp13	178	Picture	VAS	241321	0	1	1167	1	0	next	other	0
vp13	179	Picture	VAS	242488	0	1	1167	1	0	next	other	0
vp13	180	Picture	VAS	243654	0	1	1167	1	0	next	other	0
vp13	181	Picture	VAS	244821	0	1	1167	1	0	next	other	0
vp13	182	Picture	VAS	245988	0	1	1167	1	0	next	other	0
vp13	183	Picture	VAS	247154	0	1	1167	1	0	next	other	0
vp13	184	Picture	VAS	248321	0	1	1167	1	0	next	other	0
vp13	185	Picture	VAS	249488	0	1	1167	2	0	next	other	0
vp13	186	Picture	VAS	250654	0	2	1167	2	0	next	other	0
vp13	187	Picture	VAS	251821	0	1	1167	1	0	next	other	0
vp13	188	Picture	VAS	252987	0	1	1167	1	0	next	other	0
vp13	189	Picture	VAS	254154	0	1	1167	1	0	next	other	0
vp13	190	Picture	VAS	255321	0	1	1167	1	0	next	other	0
vp13	191	Picture	VAS	256487	0	1	1167	1	0	next	other	0
vp13	192	Picture	VAS	257654	0	1	1167	1	0	next	other	0
vp13	193	Picture	VAS	258820	0	1	1167	1	0	next	other	0
vp13	194	Picture	VAS	259987	0	1	1167	1	0	next	other	0
vp13	195	Picture	VAS	261154	0	1	1167	1	0	next	other	0
vp13	196	Picture	VAS	262320	0	1	1167	1	0	next	other	0
vp13	197	Picture	VAS	263487	0	1	1167	1	0	next	other	0
vp13	198	Picture	VAS	264653	0	1	1167	1	0	next	other	0
vp13	199	Picture	VAS	265820	0	1	1164	3	0	next	other	0
vp13	200	Picture	VAS	266984	0	3	1169	3	0	next	other	0
vp13	201	Picture	VAS	268153	0	1	1167	1	0	next	other	0
vp13	202	Picture	VAS	269320	0	1	1167	1	0	next	other	0
vp13	203	Picture	VAS	270486	0	1	1167	1	0	next	other	0
vp13	204	Picture	VAS	271653	0	1	1167	1	0	next	other	0
vp13	205	Picture	VAS	272820	0	1	1167	1	0	next	other	0
vp13	206	Picture	VAS	273986	0	1	1167	1	0	next	other	0
vp13	207	Picture	VAS	275153	0	1	1167	1	0	next	other	0
vp13	208	Picture	VAS	276320	0	1	1167	1	0	next	other	0
vp13	209	Picture	VAS	277486	0	1	1167	1	0	next	other	0
vp13	210	Picture	VAS	278653	0	1	1167	1	0	next	other	0
vp13	211	Picture	VAS	279819	0	1	1167	1	0	next	other	0
vp13	212	Picture	VAS	280986	0	1	1167	1	0	next	other	0
vp13	213	Picture	VAS	282153	0	1	1167	1	0	next	other	0
vp13	214	Picture	VAS	283319	0	1	1167	1	0	next	other	0
vp13	215	Picture	VAS	284486	0	1	1167	1	0	next	other	0
vp13	216	Picture	VAS	285652	0	1	1167	1	0	next	other	0
vp13	217	Picture	VAS	286819	0	1	1167	1	0	next	other	0
vp13	218	Picture	VAS	287986	0	1	1167	1	0	next	other	0
vp13	219	Picture	VAS	289152	0	1	1167	1	0	next	other	0
vp13	220	Picture	VAS	290319	0	1	1167	1	0	next	other	0
vp13	221	Picture	VAS	291485	0	1	1167	1	0	next	other	0
vp13	222	Picture	VAS	292652	0	1	1167	1	0	next	other	0
vp13	223	Picture	VAS	293819	0	1	1167	1	0	next	other	0
vp13	224	Picture	VAS	294985	0	1	1167	1	0	next	other	0
vp13	225	Picture	VAS	296152	0	1	1167	1	0	next	other	0
vp13	226	Picture	VAS	297318	0	1	1167	1	0	next	other	0
vp13	227	Picture	VAS	298485	0	1	1167	1	0	next	other	0
vp13	228	Picture	VAS	299652	0	1	1167	1	0	next	other	0
vp13	229	Picture	VAS	300818	0	1	1167	1	0	next	other	0
vp13	230	Picture	VAS	301985	0	1	1167	1	0	next	other	0
vp13	231	Picture	VAS	303151	0	1	1167	1	0	next	other	0
vp13	232	Picture	VAS	304318	0	1	1167	1	0	next	other	0
vp13	233	Picture	VAS	305485	0	1	1167	1	0	next	other	0
vp13	234	Picture	VAS	306651	0	1	1167	1	0	next	other	0
vp13	235	Picture	VAS	307818	0	1	1167	1	0	next	other	0
vp13	236	Picture	VAS	308985	0	1	1167	1	0	next	other	0
vp13	237	Picture	VAS	310151	0	1	1167	1	0	next	other	0
vp13	238	Picture	VAS	311318	0	1	1167	1	0	next	other	0
vp13	239	Picture	VAS	312484	0	1	1167	1	0	next	other	0
vp13	240	Picture	VAS	313651	0	1	1167	1	0	next	other	0
vp13	241	Picture	VAS	314818	0	1	1167	1	0	next	other	0
vp13	242	Picture	VAS	315984	0	1	1167	1	0	next	other	0
vp13	243	Picture	VAS	317151	0	1	1167	1	0	next	other	0
vp13	244	Picture	VAS	318317	0	1	1167	1	0	next	other	0
vp13	245	Picture	VAS	319484	0	1	1167	1	0	next	other	0
vp13	246	Picture	VAS	320651	0	1	1167	1	0	next	other	0
vp13	247	Picture	VAS	321817	0	1	1167	1	0	next	other	0
vp13	248	Picture	VAS	322984	0	1	1167	1	0	next	other	0
vp13	249	Picture	VAS	324150	0	1	1167	1	0	next	other	0
vp13	250	Picture	VAS	325317	0	1	1167	1	0	next	other	0
vp13	251	Picture	VAS	326484	0	1	1167	1	0	next	other	0
vp13	252	Picture	VAS	327650	0	1	1167	1	0	next	other	0
vp13	253	Picture	VAS	328817	0	1	1167	1	0	next	other	0
vp13	254	Picture	VAS	329983	0	1	1167	1	0	next	other	0
vp13	255	Picture	VAS	331150	0	1	1167	1	0	next	other	0
vp13	256	Picture	VAS	332317	0	1	1167	1	0	next	other	0
vp13	257	Picture	VAS	333483	0	1	1167	1	0	next	other	0
vp13	258	Picture	VAS	334650	0	1	1167	1	0	next	other	0
vp13	259	Picture	VAS	335817	0	1	1167	1	0	next	other	0
vp13	260	Picture	VAS	336983	0	1	1167	1	0	next	other	0
vp13	261	Picture	VAS	338150	0	1	1167	1	0	next	other	0
vp13	262	Picture	VAS	339316	0	1	1167	1	0	next	other	0
vp13	263	Picture	VAS	340483	0	1	1167	1	0	next	other	0
vp13	264	Picture	VAS	341649	0	1	1167	1	0	next	other	0
vp13	265	Picture	VAS	342816	0	1	1167	1	0	next	other	0
vp13	266	Picture	VAS	343983	0	1	1167	1	0	next	other	0
vp13	267	Picture	VAS	345149	0	1	1167	1	0	next	other	0
vp13	268	Picture	VAS	346316	0	1	1167	1	0	next	other	0
vp13	269	Picture	VAS	347483	0	1	1167	1	0	next	other	0
vp13	270	Picture	VAS	348649	0	1	1167	1	0	next	other	0
vp13	271	Picture	VAS	349816	0	1	1167	1	0	next	other	0
vp13	272	Picture	VAS	350982	0	1	1167	1	0	next	other	0
vp13	273	Picture	VAS	352149	0	1	1167	1	0	next	other	0
vp13	274	Picture	VAS	353316	0	1	1164	3	0	next	other	0
vp13	275	Picture	VAS	354480	0	3	1169	3	0	next	other	0
vp13	276	Picture	VAS	355649	0	1	1167	1	0	next	other	0
vp13	277	Picture	VAS	356815	0	1	1167	1	0	next	other	0
vp13	278	Picture	VAS	357982	0	1	1167	1	0	next	other	0
vp13	279	Picture	VAS	359149	0	1	1167	1	0	next	other	0
vp13	280	Picture	VAS	360315	0	1	1167	1	0	next	other	0
vp13	281	Picture	VAS	361482	0	1	1167	1	0	next	other	0
vp13	282	Picture	VAS	362648	0	1	1167	1	0	next	other	0
vp13	283	Picture	VAS	363815	0	1	1167	1	0	next	other	0
vp13	284	Picture	VAS	364982	0	1	1167	1	0	next	other	0
vp13	285	Picture	VAS	366148	0	1	1167	1	0	next	other	0
vp13	286	Picture	VAS	367315	0	1	1167	1	0	next	other	0
vp13	287	Picture	VAS	368482	0	1	1167	1	0	next	other	0
vp13	288	Picture	VAS	369648	0	1	1167	1	0	next	other	0
vp13	289	Picture	VAS	370815	0	1	1167	1	0	next	other	0
vp13	290	Picture	VAS	371981	0	1	1167	1	0	next	other	0
vp13	291	Picture	VAS	373148	0	1	1167	1	0	next	other	0
vp13	292	Picture	VAS	374315	0	1	1167	1	0	next	other	0
vp13	293	Picture	VAS	375481	0	1	1167	1	0	next	other	0
vp13	294	Picture	VAS	376648	0	1	1167	1	0	next	other	0
vp13	295	Picture	VAS	377814	0	1	1167	1	0	next	other	0
vp13	296	Picture	VAS	378981	0	1	1167	1	0	next	other	0
vp13	297	Picture	VAS	380148	0	1	1165	3	0	next	other	0
vp13	298	Picture	VAS	381312	0	3	1169	3	0	next	other	0
vp13	299	Picture	VAS	382481	0	1	1167	1	0	next	other	0
vp13	300	Picture	VAS	383647	0	1	1167	1	0	next	other	0
vp13	301	Picture	VAS	384814	0	1	1167	1	0	next	other	0
vp13	302	Picture	VAS	385981	0	1	1167	1	0	next	other	0
vp13	303	Picture	VAS	387147	0	1	1167	1	0	next	other	0
vp13	304	Picture	VAS	388314	0	1	1167	1	0	next	other	0
vp13	305	Picture	VAS	389480	0	1	1167	1	0	next	other	0
