,MID,bic,aic,pseudoR2,pred_acc,task
17,vp28,168.14325657060536,156.10071539422034,0.2693121294522298,0.8066666666666666,shock
18,vp29,219.17856354009498,207.13602236370997,0.041251319403676545,0.6333333333333333,shock
19,vp30,174.75417284960318,162.71163167321816,0.25589889469873595,0.7466666666666667,shock
20,vp31,195.10888482181554,183.06634364543052,0.15419993055377812,0.6733333333333333,shock
21,vp32,157.28268152746287,145.24014035107786,0.34001443368198225,0.7933333333333333,shock
22,vp33,164.98191713769853,152.93937596131352,0.2939070095461378,0.82,shock
23,vp34,132.9770503906453,120.93450921426029,0.4557826389513312,0.8333333333333334,shock
24,vp35,123.01130642233483,110.9687652459498,0.503806320295986,0.86,shock
25,vp36,123.48420895128822,111.44166777490321,0.4931506483211848,0.86,shock
26,vp37,136.1414443482399,124.09890317185487,0.4398852395202537,0.7933333333333333,shock
27,vp38,140.14278686305718,128.10024568667217,0.40957915981470316,0.82,shock
28,vp39,120.21131649093243,108.16877531454742,0.505795033230332,0.86,shock
29,vp40,118.03773650029726,105.99519532391224,0.512618694413159,0.88,shock
