,MID,bic,aic,pseudoR2,pred_acc,task
7,vp16,121.11921828523354,112.08731240294478,0.4801873686937391,0.8133333333333334,gain
8,vp17,157.4592007829841,148.42729490069536,0.3142778516609056,0.7866666666666666,gain
9,vp18,157.6311561524701,148.59925027018136,0.2766868747758654,0.7266666666666667,gain
10,vp19,208.70830352024524,199.67639763795648,0.06271517179650787,0.6533333333333333,gain
11,vp20,171.76887088606827,162.73696500377952,0.24625452621686772,0.74,gain
12,vp22,158.0125103141855,148.98060443189675,0.30517377347122987,0.7133333333333334,gain
13,vp23,153.47032360111015,144.4384177188214,0.3339102208833675,0.7533333333333333,gain
14,vp25,138.16624361670387,129.1343377344151,0.4075450646237878,0.8266666666666667,gain
15,vp26,161.75224783975636,152.7203419574676,0.28995607011118896,0.7666666666666667,gain
16,vp27,175.80577577687188,166.77386989458313,0.22525070672938385,0.7466666666666667,gain
17,vp28,203.31651024430113,194.28460436201237,0.08021860029807448,0.6666666666666666,gain
18,vp29,214.62801186809784,205.5961059858091,0.03406711302682908,0.6133333333333333,gain
19,vp30,168.44939467504594,159.41748879275718,0.2505465167547887,0.7,gain
20,vp31,187.58244191412743,178.55053603183867,0.1702073245471133,0.7,gain
21,vp32,198.81604433346664,189.78413845117788,0.11436708295471276,0.6666666666666666,gain
22,vp33,176.90554020017754,167.8736343178888,0.22115280494895384,0.8733333333333333,gain
23,vp34,171.37803253013792,162.34612664784916,0.24813406140983407,0.7466666666666667,gain
24,vp35,156.57213438852634,147.54022850623758,0.3150249055781038,0.7333333333333333,gain
25,vp36,165.99533862397016,156.9634327416814,0.27064860533467283,0.7466666666666667,gain
26,vp37,145.1179865911217,136.08608070883295,0.37151359989353605,0.8066666666666666,gain
27,vp38,213.4448537615896,204.41294787930084,0.044732591650010534,0.5666666666666667,gain
28,vp39,165.13365600787986,156.1017501255911,0.27481166261543655,0.7533333333333333,gain
29,vp40,153.69599885192127,144.66409296963252,0.3261502225708125,0.7466666666666667,gain
0,vp06,177.89035095403653,168.85844507174778,0.21520539808354033,0.7266666666666667,shock
1,vp07,128.50705031129542,119.47514442900665,0.45084412685986497,0.82,shock
2,vp10,184.80234412706255,175.7704382447738,0.1768076859558193,0.74,shock
3,vp11,126.54290270732724,117.51099682503848,0.46312565748290435,0.8666666666666667,shock
4,vp12,158.38918765896977,149.35728177668102,0.30917907981872694,0.78,shock
5,vp13,132.2156532534859,123.18374737119713,0.4363930171299052,0.8466666666666667,shock
6,vp15,127.90456835263358,118.8726624703448,0.4560806707221098,0.82,shock
7,vp16,113.1581897560497,104.12628387376093,0.5275669159246339,0.8666666666666667,shock
8,vp17,147.54722113028748,138.51531524799873,0.35977721071019353,0.82,shock
9,vp18,187.22061595232336,178.1887100700346,0.17194733961631192,0.7266666666666667,shock
10,vp19,138.02051419673384,128.9886083144451,0.40733318520957396,0.8066666666666666,shock
11,vp20,188.11577296014096,179.0838670778522,0.16237143711171864,0.7333333333333333,shock
12,vp22,148.90654622846108,139.87464034617233,0.3280034513190535,0.7933333333333333,shock
13,vp23,168.45547092788667,159.4235650455979,0.25981382218349425,0.7466666666666667,shock
14,vp25,182.04488542087768,173.01297953858892,0.18838643314451842,0.7533333333333333,shock
15,vp26,132.01237537006386,122.9804694877751,0.4373707024926782,0.8133333333333334,shock
16,vp27,137.14603060041617,128.1141247181274,0.4078862613333125,0.8266666666666667,shock
17,vp28,187.98127336043433,178.94936747814558,0.1467157690710139,0.6733333333333333,shock
18,vp29,212.91280106267502,203.88089518038626,0.047294181547394176,0.6466666666666666,shock
19,vp30,185.94845217265362,176.91654629036486,0.177959732998208,0.7066666666666667,shock
20,vp31,181.45001666170424,172.41811077941549,0.19598223894240452,0.72,shock
21,vp32,181.40772016925305,172.3758142869643,0.19990145934777825,0.78,shock
22,vp33,172.1976477734901,163.16574189120135,0.23434451160822767,0.8333333333333334,shock
23,vp34,142.00562110078278,132.97371521849402,0.388129450426402,0.8066666666666666,shock
24,vp35,150.41842895015037,141.38652306786162,0.3475891751939113,0.7866666666666666,shock
25,vp36,172.37715764510187,163.34525176281312,0.22903080971911172,0.78,shock
26,vp37,133.54442912097358,124.5125232386848,0.4282408209367258,0.7866666666666666,shock
27,vp38,183.58929297892712,174.55738709663837,0.17136061179532203,0.74,shock
28,vp39,192.73393594723692,183.70203006494816,0.12326744948836321,0.5666666666666667,shock
29,vp40,187.91928939954977,178.88738351726101,0.14014071384197324,0.7066666666666667,shock
