"trial_number","ml","mr","pr","pl","rr","rl","revealed_o_l","revealed_x_l","revealed_o_r","revealed_x_r","mag_left","mag_right","info_amb"
177,-67,-66,0.84,0.76,0.8,1,12,38,9,31,-67,-66,0.8
178,-30,-48,0.56,0.76,1,1,12,38,22,28,-30,-48,1
179,-93,-82,0.84,0.68,1,0.4,5,15,8,42,-93,-82,0.4
180,-25,-16,0.9,0.44,0.06,1,26,24,0,3,-25,-16,0.06
181,-31,-75,0.4,0.16,1,1,42,8,30,20,-31,-75,1
182,-74,-60,0.88,0.84,1,1,8,42,7,43,-74,-60,1
183,-98,-71,0.92,0.64,0.1,1,18,32,0,5,-98,-71,0.1
184,-25,-55,0.28,0.52,1,1,24,26,36,14,-25,-55,1
185,20,25,0.44,0.9,1,0.02,1,0,26,24,20,25,0.02
186,44,61,0.26,0.34,1,1,33,17,36,14,44,61,1
187,4,15,0.9,0.74,1,1,12,38,5,45,4,15,1
188,90,60,0.44,0.44,0.06,1,26,24,2,1,90,60,0.06
189,11,2,0.78,0.96,1,1,2,48,12,38,11,2,1
190,12,134,0.06,0.72,1,1,14,36,46,4,12,134,1
191,11,8,0.68,0.22,0.2,1,39,11,2,8,11,8,0.2
192,13,9,0.48,0.62,0.02,1,20,30,0,1,13,9,0.02
193,47,99,0.16,0.64,0.4,1,19,31,17,3,47,99,0.4
194,60,50,0.46,0.3,0.1,1,35,15,3,2,60,50,0.1
195,-106,-44,0.62,0.28,1,1,36,14,19,31,-106,-44,1
196,-11,-19,0.5,0.5,1,1,24,26,26,24,-11,-19,1
197,-125,-100,0.56,0.48,0.02,1,27,23,1,0,-125,-100,0.02
198,-16,-38,0.4,0.74,1,1,13,37,30,20,-16,-38,1
199,-97,-85,0.92,0.64,0.02,1,19,31,0,1,-97,-85,0.02
200,-35,-47,0.48,0.6,1,0.1,2,3,26,24,-35,-47,0.1
201,-9,-18,0.68,0.96,1,0.4,0,20,17,33,-9,-18,0.4
202,-63,-45,0.52,0.96,0.8,1,3,47,19,21,-63,-45,0.8
203,-39,-52,0.64,0.94,1,1,3,47,18,32,-39,-52,1
204,-17,-125,0.12,0.88,0.02,1,6,44,0,1,-17,-125,0.02
205,9,13,0.62,0.48,1,0.8,20,20,19,31,9,13,0.8
206,45,94,0.16,0.88,1,0.2,3,7,41,9,45,94,0.2
207,28,40,0.38,0.74,1,1,13,37,31,19,28,40,1
208,62,22,0.68,0.28,1,1,37,13,15,35,62,22,1
209,118,32,0.38,0.2,1,1,39,11,31,19,118,32,1
210,-30,-7,0.72,0.24,1,0.2,8,2,14,36,-30,-7,0.2
211,-63,-13,0.4,0.48,1,1,25,25,30,20,-63,-13,1
212,-76,-38,0.66,0.28,0.06,1,36,14,1,2,-76,-38,0.06
213,-15,-5,0.94,0.66,1,1,18,32,2,48,-15,-5,1
