id,MID,trial_number,start_date,trialstart,outcome,reaction_time,totalpoints,prop_left,prop_right,resp,revealed_left,revealed_right,AID,HID,noresp,session_id,five_trial_outcome,mag_left,mag_right,received_mag,practice,loss_or_reward,revealed_o_l,revealed_o_r,revealed_x_l,revealed_x_r,instruct_number
77709,A27BPRHBM28XZS,30,3/10/17 8:48,1.48914E+12,O,2151,5276,0.4,0.66,right,0.4,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,115,-54,-74,0,FALSE,combined,5,31,15,19,0
77711,A27BPRHBM28XZS,31,3/10/17 8:48,1.48914E+12,O,3215,5276,0.36,0.6,right,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,115,-93,-127,0,FALSE,combined,19,30,31,20,0
77712,A27BPRHBM28XZS,32,3/10/17 8:48,1.48914E+12,X,2439,5276,0.64,0.34,left,0.02,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,115,-39,-21,-39,FALSE,combined,1,16,0,34,0
77714,A27BPRHBM28XZS,33,3/10/17 8:48,1.48914E+12,X,1965,5276,0.52,0.38,left,0.2,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,115,-9,-13,-9,FALSE,combined,5,20,5,30,0
77715,A27BPRHBM28XZS,34,3/10/17 8:48,1.48914E+12,O,1693,5276,0.96,0.52,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,115,-125,-63,0,FALSE,combined,48,25,2,25,0
77717,A27BPRHBM28XZS,35,3/10/17 8:48,1.48914E+12,O,2525,5276,0.64,0.72,left,1,0.06,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,74,84,0,FALSE,combined,32,2,18,1,0
77719,A27BPRHBM28XZS,36,3/10/17 8:48,1.48914E+12,X,1242,5276,0.56,0.48,left,1,0.2,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,68,29,68,FALSE,combined,26,8,24,2,0
77720,A27BPRHBM28XZS,37,3/10/17 8:49,1.48914E+12,X,1558,5276,0.28,0.76,left,1,0.4,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,7,21,7,FALSE,combined,13,13,37,7,0
77722,A27BPRHBM28XZS,38,3/10/17 8:49,1.48914E+12,X,2388,5276,0.12,0.4,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,17,50,17,FALSE,combined,6,21,44,29,0
77723,A27BPRHBM28XZS,39,3/10/17 8:49,1.48914E+12,X,1159,5276,0.56,0.48,left,1,0.02,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,68,29,68,FALSE,combined,26,0,24,1,0
77725,A27BPRHBM28XZS,40,3/10/17 8:49,1.48914E+12,X,1777,5276,0.64,0.44,right,0.1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,74,107,107,FALSE,combined,3,22,2,28,0
77726,A27BPRHBM28XZS,41,3/10/17 8:49,1.48914E+12,X,1148,5276,0.08,0.32,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,33,7,33,FALSE,combined,3,17,47,33,0
77728,A27BPRHBM28XZS,42,3/10/17 8:49,1.48914E+12,X,1576,5276,0.38,0.52,left,1,0.8,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,13,9,13,FALSE,combined,18,22,32,18,0
77729,A27BPRHBM28XZS,43,3/10/17 8:49,1.48914E+12,X,2894,5276,0.62,0.64,right,1,0.06,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,40,51,51,FALSE,combined,31,2,19,1,0
77731,A27BPRHBM28XZS,44,3/10/17 8:49,1.48914E+12,O,2230,5276,0.36,0.62,right,0.8,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,38,81,0,FALSE,combined,15,32,25,18,0
77733,A27BPRHBM28XZS,45,3/10/17 8:50,1.48914E+12,O,1797,5276,0.64,0.44,left,0.1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-74,-107,0,FALSE,combined,3,22,2,28,0
77734,A27BPRHBM28XZS,46,3/10/17 8:50,1.48914E+12,X,1337,5276,0.08,0.32,right,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-33,-7,-7,FALSE,combined,3,17,47,33,0
77736,A27BPRHBM28XZS,47,3/10/17 8:50,1.48914E+12,X,1437,5276,0.38,0.52,right,1,0.8,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-13,-9,-9,FALSE,combined,18,22,32,18,0
77737,A27BPRHBM28XZS,48,3/10/17 8:50,1.48914E+12,O,2294,5276,0.62,0.64,left,1,0.06,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-40,-51,0,FALSE,combined,31,2,19,1,0
