trial_number,ml,mr,pr,pl,rr,rl,revealed_o_l,revealed_x_l,revealed_o_r,revealed_x_r,mag_left,mag_right
129,115.0,94.0,0.64,0.52,0.2,1.0,24.0,26.0,3.0,7.0,115.0,94.0
130,-39.0,-52.0,0.64,0.94,1.0,1.0,3.0,47.0,18.0,32.0,-39.0,-52.0
131,-45.0,-21.0,0.66,0.36,1.0,0.02,1.0,0.0,16.0,34.0,-45.0,-21.0
132,-11.0,-31.0,0.52,0.8,1.0,1.0,11.0,39.0,24.0,26.0,-11.0,-31.0
133,-11.0,-16.0,0.4,0.28,1.0,1.0,37.0,13.0,29.0,21.0,-11.0,-16.0
134,-38.0,-27.0,0.56,0.8,1.0,1.0,10.0,40.0,23.0,27.0,-38.0,-27.0
135,6.0,5.0,0.92,0.84,1.0,1.0,8.0,42.0,4.0,46.0,6.0,5.0
136,34.0,94.0,0.16,0.88,1.0,1.0,7.0,43.0,41.0,9.0,34.0,94.0
137,54.0,74.0,0.34,0.6,1.0,0.2,5.0,5.0,31.0,19.0,54.0,74.0
138,8.0,9.0,0.48,0.26,1.0,1.0,37.0,13.0,25.0,25.0,8.0,9.0
139,7.0,45.0,0.22,0.68,0.02,1.0,16.0,34.0,1.0,0.0,7.0,45.0
140,115.0,5.0,0.92,0.52,0.4,1.0,23.0,27.0,3.0,17.0,115.0,5.0
141,77.0,118.0,0.56,0.76,1.0,1.0,12.0,38.0,23.0,27.0,77.0,118.0
142,29.0,25.0,0.92,0.86,1.0,1.0,6.0,44.0,4.0,46.0,29.0,25.0
143,91.0,84.0,0.84,0.68,1.0,0.4,7.0,13.0,8.0,42.0,91.0,84.0
144,144.0,114.0,0.48,0.44,1.0,1.0,28.0,22.0,26.0,24.0,144.0,114.0
145,-77.0,-118.0,0.56,0.76,1.0,1.0,12.0,38.0,23.0,27.0,-77.0,-118.0
146,-138.0,-106.0,0.6,0.48,1.0,1.0,25.0,25.0,21.0,29.0,-138.0,-106.0
147,-84.0,-95.0,0.68,0.76,0.2,1.0,12.0,38.0,5.0,5.0,-84.0,-95.0
148,-74.0,-88.0,0.6,0.68,1.0,0.06,1.0,2.0,20.0,30.0,-74.0,-88.0
149,-33.0,-20.0,0.56,0.1,0.1,1.0,46.0,4.0,1.0,4.0,-33.0,-20.0
150,-23.0,-7.0,0.68,0.64,1.0,1.0,17.0,33.0,16.0,34.0,-23.0,-7.0
151,-33.0,-7.0,0.68,0.92,1.0,1.0,3.0,47.0,17.0,33.0,-33.0,-7.0
152,-63.0,-58.0,0.52,0.08,0.1,1.0,45.0,5.0,2.0,3.0,-63.0,-58.0
153,-47.0,-99.0,0.16,0.64,0.4,1.0,19.0,31.0,17.0,3.0,-47.0,-99.0
154,-118.0,-32.0,0.38,0.2,1.0,1.0,39.0,11.0,31.0,19.0,-118.0,-32.0
155,138.0,106.0,0.6,0.48,1.0,1.0,25.0,25.0,21.0,29.0,138.0,106.0
156,30.0,63.0,0.48,0.56,1.0,0.1,3.0,2.0,26.0,24.0,30.0,63.0
157,67.0,66.0,0.84,0.76,0.8,1.0,12.0,38.0,9.0,31.0,67.0,66.0
158,30.0,48.0,0.56,0.76,1.0,1.0,12.0,38.0,22.0,28.0,30.0,48.0
159,101.0,82.0,0.84,0.68,1.0,0.4,5.0,15.0,8.0,42.0,101.0,82.0
160,-6.0,-5.0,0.92,0.84,1.0,1.0,8.0,42.0,4.0,46.0,-6.0,-5.0
161,-60.0,-94.0,0.16,0.88,1.0,0.02,0.0,1.0,42.0,8.0,-60.0,-94.0
162,-15.0,-53.0,0.32,0.96,1.0,1.0,3.0,47.0,33.0,17.0,-15.0,-53.0
