,ml,mr,pr,pl,rr,rl,gainloss,mdiff,pdiff,adiff,ev_r,ev_l,prob_o_l,prob_o_r,nobrainer
163,-74.0,-60.0,0.56,0.56,0.06,1.0,2.0,14.0,0.0,-0.94,7.84,-7.84,0.44,0.44,0
164,-11.0,-2.0,0.22,0.04,1.0,1.0,2.0,9.0,-0.18,0.0,0.0,0.0,0.96,0.78,1
165,37.0,100.0,0.8,0.18,1.0,1.0,1.0,63.0,-0.62,0.0,73.34,-73.34,0.82,0.2,0
166,39.0,75.0,0.2,0.24,1.0,1.0,1.0,36.0,0.04,0.0,5.64,-5.64,0.76,0.8,1
167,136.0,29.0,0.48,0.56,1.0,1.0,1.0,-107.0,0.08,0.0,-62.24,62.24,0.44,0.52,0
168,87.0,55.0,0.44,0.6,1.0,0.1,1.0,-32.0,0.16,0.9,-28.0,28.0,0.4,0.56,0
169,85.0,35.0,0.1,0.68,0.8,1.0,1.0,-50.0,0.58,-0.2,-54.3,54.3,0.32,0.9,0
170,16.0,46.0,0.7,0.12,0.4,1.0,1.0,30.0,-0.58,-0.6,30.28,-30.28,0.88,0.3,0
171,96.0,86.0,0.2,0.24,1.0,1.0,1.0,-10.0,0.04,0.0,-5.84,5.84,0.76,0.8,0
172,29.0,48.0,0.64,0.68,1.0,1.0,1.0,19.0,0.04,0.0,11.0,-11.0,0.32,0.36,1
173,125.0,17.0,0.12,0.88,1.0,0.06,1.0,-108.0,0.76,0.94,-107.96,107.96,0.12,0.88,0
174,38.0,27.0,0.44,0.2,1.0,1.0,1.0,-11.0,-0.24,0.0,4.28,-4.28,0.8,0.56,1
175,-138.0,-106.0,0.4,0.52,1.0,1.0,2.0,32.0,0.12,0.0,29.36,-29.36,0.48,0.6,0
176,-9.0,-63.0,0.52,0.44,1.0,0.1,2.0,-54.0,-0.08,0.9,-28.8,28.8,0.56,0.48,0
177,-67.0,-66.0,0.16,0.24,0.8,1.0,2.0,1.0,0.08,-0.2,5.52,-5.52,0.76,0.84,0
178,-30.0,-48.0,0.44,0.24,1.0,1.0,2.0,-18.0,-0.2,0.0,-13.92,13.92,0.76,0.56,0
179,-93.0,-82.0,0.16,0.32,1.0,0.4,2.0,11.0,0.16,0.6,16.64,-16.64,0.68,0.84,0
180,-25.0,-16.0,0.1,0.56,0.06,1.0,2.0,9.0,0.46,-0.94,12.4,-12.4,0.44,0.9,0
181,-31.0,-75.0,0.6,0.84,1.0,1.0,2.0,-44.0,0.24,0.0,-18.96,18.96,0.16,0.4,1
182,-74.0,-60.0,0.12,0.16,1.0,1.0,2.0,14.0,0.04,0.0,4.64,-4.64,0.84,0.88,0
183,-98.0,-71.0,0.08,0.36,0.1,1.0,2.0,27.0,0.28,-0.9,29.6,-29.6,0.64,0.92,0
184,-25.0,-55.0,0.72,0.48,1.0,1.0,2.0,-30.0,-0.24,0.0,-27.6,27.6,0.52,0.28,0
185,16.0,25.0,0.56,0.1,1.0,0.02,1.0,9.0,-0.46,0.98,12.4,-12.4,0.9,0.44,0
186,44.0,61.0,0.74,0.66,1.0,1.0,1.0,17.0,-0.08,0.0,16.1,-16.1,0.34,0.26,0
187,4.0,15.0,0.1,0.26,1.0,1.0,1.0,11.0,0.16,0.0,0.46,-0.46,0.74,0.9,1
188,74.0,60.0,0.56,0.56,0.06,1.0,1.0,-14.0,0.0,-0.94,-7.84,7.84,0.44,0.44,0
189,11.0,2.0,0.22,0.04,1.0,1.0,1.0,-9.0,-0.18,0.0,0.0,0.0,0.96,0.78,1
190,12.0,134.0,0.94,0.28,1.0,1.0,1.0,122.0,-0.66,0.0,122.6,-122.6,0.72,0.06,0
191,11.0,4.0,0.32,0.78,0.2,1.0,1.0,-7.0,0.46,-0.8,-7.3,7.3,0.22,0.68,0
192,13.0,9.0,0.52,0.38,0.02,1.0,1.0,-4.0,-0.14,-0.98,-0.26,0.26,0.62,0.48,1
193,47.0,99.0,0.84,0.36,0.4,1.0,1.0,52.0,-0.48,-0.6,66.24,-66.24,0.64,0.16,0
194,60.0,40.0,0.54,0.7,0.1,1.0,1.0,-20.0,0.16,-0.9,-20.4,20.4,0.3,0.46,0
195,-106.0,-44.0,0.38,0.72,1.0,1.0,2.0,62.0,0.34,0.0,59.6,-59.6,0.28,0.62,0
196,-11.0,-19.0,0.5,0.5,1.0,1.0,2.0,-8.0,0.0,0.0,-4.0,4.0,0.5,0.5,0
197,-125.0,-80.0,0.44,0.52,0.02,1.0,2.0,45.0,0.08,-0.98,29.8,-29.8,0.48,0.56,0
198,-16.0,-38.0,0.6,0.26,1.0,1.0,2.0,-22.0,-0.34,0.0,-18.64,18.64,0.74,0.4,0
199,-97.0,-70.0,0.08,0.36,0.02,1.0,2.0,27.0,0.28,-0.98,29.32,-29.32,0.64,0.92,0
200,-25.0,-47.0,0.68,0.4,1.0,0.1,2.0,-22.0,-0.28,0.9,-21.96,21.96,0.6,0.32,0
201,-9.0,-18.0,0.32,0.04,1.0,0.4,2.0,-9.0,-0.28,0.6,-5.4,5.4,0.96,0.68,0
202,-63.0,-29.0,0.48,0.04,0.8,1.0,2.0,34.0,-0.44,-0.2,-11.4,11.4,0.96,0.52,1
203,-39.0,-52.0,0.36,0.06,1.0,1.0,2.0,-13.0,-0.3,0.0,-16.38,16.38,0.94,0.64,0
204,-17.0,-125.0,0.88,0.12,0.02,1.0,2.0,-108.0,-0.76,-0.98,-107.96,107.96,0.88,0.12,0
205,9.0,13.0,0.38,0.52,1.0,0.8,1.0,4.0,0.14,0.2,0.26,-0.26,0.48,0.62,1
206,34.0,94.0,0.84,0.12,1.0,0.2,1.0,60.0,-0.72,0.8,74.88,-74.88,0.88,0.16,0
207,28.0,40.0,0.62,0.26,1.0,1.0,1.0,12.0,-0.36,0.0,17.52,-17.52,0.74,0.38,0
208,62.0,22.0,0.32,0.72,1.0,1.0,1.0,-40.0,0.4,0.0,-37.6,37.6,0.28,0.68,0
209,118.0,32.0,0.62,0.8,1.0,1.0,1.0,-86.0,0.18,0.0,-74.56,74.56,0.2,0.38,0
210,-21.0,-7.0,0.28,0.76,1.0,0.2,2.0,14.0,0.48,0.8,14.0,-14.0,0.24,0.72,0
211,-63.0,-13.0,0.6,0.52,1.0,1.0,2.0,50.0,-0.08,0.0,24.96,-24.96,0.48,0.4,1
212,-76.0,-38.0,0.34,0.72,0.06,1.0,2.0,38.0,0.38,-0.94,41.8,-41.8,0.28,0.66,0
