,resp_r_1,prob_o_l,prob_o_r,mag_left,mag_right,info_amb,revealed_o_r,num_revealed,info_amb_sqrt,resp_amb_1,ambig_r,ambig_l,gain_or_loss_trial,mag_ambig,mag_unambig,prob_x_unambig,prob_x_ambig,prob_x_l,prob_x_r,revealed_o_ambig,revealed_x_ambig,revealed_ambi,prob_x_ambig_bayes,ambiguityLevel,MID
105,1.0,0.040000000000000036,0.16000000000000003,0.05,0.06,1.0,42.0,50.0,1.0,1.0,0,0.0,gain,0.06,0.05,0.96,0.84,0.96,0.84,42.0,8.0,1.0,0.8269230769230769,-5.48074069840786,S30
106,0.0,0.52,0.48,1.25,1.15,0.02,1.0,1.0,0.1414213562373095,0.0,1,0.0,gain,1.15,1.25,0.48,0.52,0.48,0.52,1.0,0.0,0.1414213562373095,0.6666666666666666,0.0,S30
107,0.0,0.62,0.45999999999999996,0.17,0.07,0.06,3.0,3.0,0.2449489742783178,0.0,1,0.0,gain,0.07,0.17,0.38,0.54,0.38,0.54,3.0,0.0,0.2449489742783178,0.8,-0.7320508075688772,S30
108,1.0,0.4,0.07999999999999996,0.58,0.27,0.02,1.0,1.0,0.1414213562373095,1.0,1,0.0,gain,0.27,0.58,0.6,0.92,0.6,0.92,1.0,0.0,0.1414213562373095,0.6666666666666666,0.0,S30
109,1.0,0.21999999999999997,0.32000000000000006,0.21,0.28,1.0,34.0,50.0,1.0,1.0,0,0.0,gain,0.28,0.21,0.78,0.6799999999999999,0.78,0.6799999999999999,34.0,16.0,1.0,0.6730769230769231,-4.830951894845301,S30
110,0.0,0.16000000000000003,0.16000000000000003,0.74,0.65,0.4,16.0,20.0,0.6324555320336759,0.0,1,0.0,gain,0.65,0.74,0.84,0.84,0.84,0.84,16.0,4.0,0.6324555320336759,0.7727272727272727,-3.0,S30
111,1.0,0.36,0.36,0.86,0.78,1.0,32.0,50.0,1.0,1.0,0,0.0,gain,0.78,0.86,0.64,0.64,0.64,0.64,32.0,18.0,1.0,0.6346153846153846,-4.656854249492381,S30
112,0.0,0.07999999999999996,0.76,0.16,0.62,0.08,2.0,4.0,0.282842712474619,0.0,1,0.0,gain,0.62,0.16,0.92,0.24,0.92,0.24,2.0,2.0,0.282842712474619,0.5,-0.41421356237309515,S30
113,0.0,0.16000000000000003,0.76,0.16,0.09,1.0,12.0,50.0,1.0,0.0,0,0.0,gain,0.09,0.16,0.84,0.24,0.84,0.24,12.0,38.0,1.0,0.25,-2.4641016151377544,S30
114,0.0,0.43999999999999995,0.19999999999999996,0.09,0.06,0.06,2.0,3.0,0.2449489742783178,0.0,1,0.0,gain,0.06,0.09,0.56,0.8,0.56,0.8,2.0,1.0,0.2449489742783178,0.6,-0.41421356237309515,S30
115,0.0,0.36,0.6,0.47,0.75,1.0,20.0,50.0,1.0,0.0,0,0.0,gain,0.75,0.47,0.64,0.4,0.64,0.4,20.0,30.0,1.0,0.40384615384615385,-3.4721359549995796,S30
116,1.0,0.5,0.64,0.21,0.41,1.0,18.0,50.0,1.0,1.0,0,0.0,gain,0.41,0.21,0.5,0.36,0.5,0.36,18.0,32.0,1.0,0.36538461538461536,-3.2426406871192848,S30
117,0.0,0.36,0.8,0.23,0.75,0.1,2.0,5.0,0.31622776601683794,0.0,1,0.0,gain,0.75,0.23,0.64,0.19999999999999996,0.64,0.19999999999999996,2.0,3.0,0.31622776601683794,0.42857142857142855,-0.41421356237309515,S30
118,0.0,0.54,0.7,0.73,1.01,0.4,7.0,20.0,0.6324555320336759,0.0,1,0.0,gain,1.01,0.73,0.45999999999999996,0.30000000000000004,0.45999999999999996,0.30000000000000004,7.0,13.0,0.6324555320336759,0.36363636363636365,-1.6457513110645907,S30
119,0.0,0.68,0.82,0.41,0.79,1.0,9.000000000000002,50.0,1.0,0.0,0,0.0,gain,0.79,0.41,0.31999999999999995,0.18000000000000005,0.31999999999999995,0.18000000000000005,9.000000000000002,41.0,1.0,0.19230769230769235,-2.0000000000000004,S30
120,1.0,0.36,0.52,0.75,1.27,1.0,24.0,50.0,1.0,1.0,0,0.0,gain,1.27,0.75,0.64,0.48,0.64,0.48,24.0,26.0,1.0,0.4807692307692308,-3.8989794855663558,S30
121,1.0,0.36,0.24,0.23,0.07,0.2,8.0,10.0,0.4472135954999579,1.0,1,0.0,gain,0.07,0.23,0.64,0.76,0.64,0.76,8.0,2.0,0.4472135954999579,0.75,-1.8284271247461903,S30
122,1.0,0.4,0.07999999999999996,0.58,0.27,0.08,4.0,4.0,0.282842712474619,1.0,1,0.0,gain,0.27,0.58,0.6,0.92,0.6,0.92,4.0,0.0,0.282842712474619,0.8333333333333334,-1.0,S30
123,1.0,0.12,0.52,0.34,0.1,0.04,2.0,2.0,0.2,1.0,1,0.0,gain,0.1,0.34,0.88,0.48,0.88,0.48,2.0,0.0,0.2,0.75,-0.41421356237309515,S30
124,1.0,0.62,0.58,0.7,0.68,1.0,21.000000000000004,50.0,1.0,1.0,0,0.0,gain,0.68,0.7,0.38,0.42000000000000004,0.38,0.42000000000000004,21.000000000000004,28.999999999999996,1.0,0.42307692307692313,-3.5825756949558407,S30
125,0.0,0.32000000000000006,0.32000000000000006,0.11,0.07,1.0,34.0,50.0,1.0,0.0,0,0.0,gain,0.07,0.11,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.6799999999999999,34.0,16.0,1.0,0.6730769230769231,-4.830951894845301,S30
126,0.0,0.28,0.06000000000000005,0.31,0.2,0.2,10.0,10.0,0.4472135954999579,0.0,1,0.0,gain,0.2,0.31,0.72,0.94,0.72,0.94,10.0,0.0,0.4472135954999579,0.9166666666666666,-2.1622776601683795,S30
127,1.0,0.16000000000000003,0.12,0.76,0.72,1.0,44.0,50.0,1.0,1.0,0,0.0,gain,0.72,0.76,0.84,0.88,0.84,0.88,44.0,6.0,1.0,0.8653846153846154,-5.6332495807108,S30
